Title,Beds,Bath,Area,Address,Type,Price(BDT)
A Small 500 Sq Ft 1-Bedroom Apartment For Sale In Mohammadi Housing Ltd.,2,2,980 sqft,"Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,2000000
In The Location Of Banani An Excellent Flat Of 1650 Sq Ft Is Waiting For Sale,3,3,1650 sqft,"Banani, Dhaka",Apartment,8600000
"Grab This 1700 Sq Ft Apartment For Sale In Mirpur, Section-2",4,3,1700 sqft,"Block D, Section 2, Mirpur, Dhaka",Apartment,7000000
In The Fine Location Of Chatogram A 1600 Sq Ft Furnished Apartment Is All Set For Sale Near To Ab Bank Limited,3,3,1600 sqft,"South Khulshi, Khulshi, Chattogram",Apartment,8000000
Affordable And Beautiful Flat Is Up For Sale In West Rampura Which Is 2300 Sq Ft,4,2,2300 sqft,"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",Apartment,4300000
Let Us Help You To Sale This 1250 Sq Ft Apartment Which Is Now Available In Bashundhara R-A,3,3,1250 sqft,"Block K, Bashundhara R-A, Dhaka",Apartment,7700000
"Impressively Done, Large 4350 Sq Ft Saleal Residential Duplex Is In The Center Of Uttara, Sector 13",5,2,4350 sqft,"Sector 13, Uttara, Dhaka",Duplex,60000000
"Comfortable And Well Designed Flat Of 3200 Sq Ft In Bashundhara R/A Block C For Sale, Near Mridha Bari Jame Mosjid",4,2,3200 sqft,"Block C, Bashundhara R-A, Dhaka",Apartment,40000000
"Luxurious And Furnished Apartment At Khulshi, For Sale Close To Khulshi Jame Masjid",4,2,2000 sqft,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,8200000
"Nice Flat Can Be Found In Kalabagan For Sale, Near Bashir Uddin Jame Mosque.",3,3,2000 sqft,"Kalabagan, Dhaka",Apartment,7100000
A Decent 1200 Sq Ft Flat Is Now To Sale In Mohammadpur,3,3,1200 sqft,"Mohammadia Housing Society, Mohammadpur, Dhaka",Apartment,8400000
Take This Saleal Property Of 2300 Sq Ft Which Is Vacant Right Now At Bashundhara R-A,4,2,2300 sqft,"Block F, Bashundhara R-A, Dhaka",Apartment,5500000
"A Nice House Is Available For Sale At Kafrul, With An Affordable Deal.",4,3,1800 sqft,"Kafrul, Dhaka",Apartment,8700000
"A Well Defined Residential Flat Of 800 Sq Ft Is Available For Sale In Mohakhali Dohs, Near Canadian Institute Of Global Learning, Bangladesh",2,2,800 sqft,"Mohakhali DOHS, Dhaka",Apartment,2500000
"A 2146 Sq. Ft Spacious Flat In Uttara, Sector 13 Is Now For Sale",3,2,2146 sqft,"Sector 13, Uttara, Dhaka",Apartment,5500000
Worthy 1315 Sq Ft Residential Apartment Is For Sale At 10 No. North Kattali Ward,3,3,1315 sqft,"10 No. North Kattali Ward, Chattogram",Apartment,6700000
Check This Apartment Up For Sale At Uttara Near Exim Bank Limited.,3,3,1500 sqft,"Sector 4, Uttara, Dhaka",Apartment,7600000
"An Apartment Is Ready For Sale At Mohammadpur , Near Mohammadpur Baitur Rahman Jame Masjid.",2,2,700 sqft,"Mohammadpur, Dhaka",Apartment,3600000
Offering You A 2 Bedroom Flat For Sale In Katashur Near Kaderabad Housing Estate Jam-E-Masjid,2,2,980 sqft,"Kaderabad Housing Society, Katashur, Mohammadpur, Dhaka",Apartment,3400000
"Apartment For Sale In Turag, Near Kamarpara School & College",2,2,960 sqft,"Kamarpara, Turag, Dhaka",Apartment,3000000
"An Apartment For Sale Is All Set For You To Settle In Khulshi, Nearby Women College.",3,3,2200 sqft,"South Khulshi, Khulshi, Chattogram",Apartment,3500000
Acquire This Apartment Up For Sale In Khulshi Near Khulshi Police Station.,3,3,1500 sqft,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,7400000
A Reasonable 1400 Sq Ft Flat Is Ready To Sale In Bochila Near Jannatul Firdous Mosque,3,3,1400 sqft,"Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",Apartment,6000000
