Title,Beds,Bath,Area,Address,Type,Price(BDT)
An Adequate Residential Place For Sale Is Available In Shameem Sharani With Satisfactory Price.,3,2,1050 sqft,"West Shewrapara, Mirpur, Dhaka",Apartment,6600000
Reasonable 1800 Sq Ft Flat Is Available To Sale In Dhanmondi,3,3,1800 sqft,"Dhanmondi, Dhaka",Apartment,8600000
Reasonable 1800 Sq Ft Flat Is Available To Sale In West Dhanmondi,3,3,1800 sqft,"Dhanmondi, Dhaka",Apartment,8500000
Reside Conveniently In This Well-Constructed 1000 Sq Ft Flat For Sale In West Shewrapara,3,2,1000 sqft,"West Shewrapara, Mirpur, Dhaka",Apartment,6400000
1865 Square Feet Apartment For The Sale In The Prime Location Of Gulshan 1,3,3,1865 sqft,"Gulshan 1, Gulshan, Dhaka",Apartment,30000000
Beautiful And Well-Constructed 2225 Sq Ft Flat Is Ready To Sale At Bashundhara R-A,3,3,2225 sqft,"Block A, Bashundhara R-A, Dhaka",Apartment,4500000
1685 Sq Ft Apartment Is Ready For Sale In Uttara Sector 4,3,3,1685 sqft,"Sector 4, Uttara, Dhaka",Apartment,8700000
500 Square Feet Affordable Apartment For Sale In Mirpur-11,2,2,980 sqft,"Block D, Section 11, Mirpur, Dhaka",Apartment,3000000
"Available In Banani, Is A 1880 Sq Ft Apartment For Sale, Near Banani Model High School",3,3,1880 sqft,"Banani, Dhaka",Apartment,7700000
A Convenient And Well-Constructed 1200 Sq. Ft Flat Is For Sale Very Close To Chairmangoli Jame Mosque,3,2,1200 sqft,"Nayatola, Maghbazar, Dhaka",Apartment,3600000
"Smartly Priced 1500 Sq Ft Flat, That You Should Check In Nayatola",3,3,1500 sqft,"Nayatola, Maghbazar, Dhaka",Apartment,8600000
Discover Your Place In A 1500 Sq Ft Structurally Well Built Flat For Sale In Bashundhara R-A,3,3,1500 sqft,"Block G, Bashundhara R-A, Dhaka",Apartment,7500000
Acquire This 1400 Sq. Ft. Flat Which Is Up For Sale In Uttara Beside To Kuwait Bangladesh Friendship Govt. Hospital .,3,3,1400 sqft,"Sector 6, Uttara, Dhaka",Apartment,7900000
Use Your Time Perfectly To Take This 1800 Sq Ft Apartment For Sale In Chandrima Model Town,3,3,1800 sqft,"Block E, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,7000000
"1050 Sq Ft Wonderful Apartment Is Ready For Sale In Mirpur, Ahmed Nagar",3,3,1050 sqft,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,5400000
View This 500 Sq Ft Flat Ready To Sale In Mohammadpur,3,2,980 sqft,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,3300000
"1600 Sq Ft Flat Is Up For Sale In Aftab Nagar, Block E",3,3,1600 sqft,"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,7200000
"Reside In This 1600 Sq Ft Flat Up For Sale In Aftab Nagar, Block E",3,3,1600 sqft,"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,8600000
This 1350 Sq Ft Lovely Flat Is Perfect For Those Who Are Looking For A Nice Place To Stay At Mohammadpur,3,3,1350 sqft,"Tajmahal Road, Mohammadpur, Dhaka",Apartment,4700000
"Prominent Location Of Nasirabad Properties R/A, A 3-Bedroom Beautiful Apartment Is Waiting For Sale",3,3,1400 sqft,"Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,7900000
1600 Square Feet Cozy Apartment For Sale In Adabor,3,3,1600 sqft,"Block D, Mansurabad Housing Society, Adabor, Dhaka",Apartment,7300000
Grab This 1000 Sq Ft Beautiful Flat Is Vacant For Sale In Gandaria,3,2,1000 sqft,"Gandaria, Sutrapur, Dhaka",Apartment,8600000
Make Your Residence In An 1171 Sq Ft Saleal Home At Mirpur 1,3,2,1171 sqft,"Shah Ali Bag, Section 1, Mirpur, Dhaka",Apartment,8200000
"Sale This Amazing 1250 Square Feet Apartment In Mirpur-11, Block A",3,3,1250 sqft,"Block A, Section 11, Mirpur, Dhaka",Apartment,5800000
1750 Square Feet Apartment With Great Rooms Is For Sale In Shyamoli,3,3,1750 sqft,"Shyamoli, Dhaka",Apartment,7500000
Lovely Apartment Covering An Area Of 1500 Sq Ft Is Up For Sale In Adabor Near Southeast Bank Green School,3,3,1500 sqft,"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,7800000
Reside In This Amazing 5400 Sq Ft Ready Flat For Sale In Gulshan 2,5,2,5400 sqft,"Gulshan 2, Gulshan, Dhaka",Apartment,80000000
Nice And Reasonable Flat Of 1722 Sq Ft Is Ready To Sale In Turag,3,3,1722 sqft,"Turag, Dhaka",Apartment,7100000
Affordable Lovely Apartment Of 3 Bedroom For Sale At Turag,3,3,1750 sqft,"Turag, Dhaka",Apartment,8600000
Pursue This Spacious 3000 Sq Ft Ready Flat For Sale In Bashundhara R/A,5,2,3000 sqft,"Block A, Bashundhara R-A, Dhaka",Apartment,40000000
"Apartment For Sale In Khulshi, Near Radiant School And College",3,3,1550 sqft,"South Khulshi, Khulshi, Chattogram",Apartment,7900000
4465 Sq Ft Marvelous Duplex Flat For Sale In Gulshan 2,4,2,4465 sqft,"Gulshan 2, Gulshan, Dhaka",Duplex,70000000
Property For Sale In Chandrima Model Town– 1650 Sq Ft Apartment,3,3,1650 sqft,"Block E, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,8100000
"Grab This 1420 Sq Ft Flat Available For Sale In Rupnagar Main Road, Mirpur-5",3,3,1420 sqft,"Rupnagar Main Road, Section 5, Mirpur, Dhaka",Apartment,7200000
"Take This Nice 1650 Sq Ft Apartment In Chandrima Model Town, To Fulfill Your Wish",3,3,1650 sqft,"Block E, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,8600000
View This 1500 Sq Ft Apartment For Sale At South Khulshi,3,3,1500 sqft,"South Khulshi, Khulshi, Chattogram",Apartment,7900000
We Are Offering A Reasonably Priced Flat For Sale Which Is Featuring 1600 Sq Ft Space In Aftab Nagar,3,3,1600 sqft,"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,7200000
A Modern Well-Planned Flat Of 1700 Sq Ft Is Up For Sale Is Situated In Aftab Nagar,3,3,1700 sqft,"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,9000000
1200 Square Feet Apartment For Sale In Adabor,3,3,1200 sqft,"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,4900000
We Have A Ready Flat For Sale In Bashundhara R-A Nearby North South University,4,2,1680 sqft,"Block G, Bashundhara R-A, Dhaka",Apartment,7200000
A Luxurious Residential Apartment Is For Sale In Dhanmondi Near Dr. Malika College,3,3,2642 sqft,"Dhanmondi, Dhaka",Apartment,20000000
"3 Bedroom Residence Is For Sale In Block E, South Banasree Project",3,3,1350 sqft,"Block E, South Banasree Project, Banasree, Dhaka",Apartment,4600000
21000 Square Feet Well-Constructed Building Is Available In Bashundhara R-A For Saleal Purpose,7,2,21000 sqft,"Block G, Bashundhara R-A, Dhaka",Building,70000000
800 Sq. Ft. Flat Is Ready To Sale At Mirpur Section 10.,2,2,800 sqft,"Block C, Section 10, Mirpur, Dhaka",Apartment,1600000
We Bring You A Nice Residence Of 1200 Sq Ft For Sale In Adabor,3,3,1200 sqft,"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,4200000
Worthy 500 Sq Ft Residential Apartment Is Ready To Sale At Mirpur Area Close To Ideal School,2,2,980 sqft,"Block C, Section 10, Mirpur, Dhaka",Apartment,2200000
Jhigatola Road Has This Amazing Flat Of 600 Sq Ft Ready To Sale,2,2,980 sqft,"Dhanmondi, Dhaka",Apartment,2600000
For Saleal Purpose 1250 Sq Ft Home Is Now Up To Sale In Manikdi,3,3,1250 sqft,"Manikdi, Cantonment, Dhaka",Apartment,8700000
"Available In Mirpur -Zoo Road, A 1100 Sq. Ft Apartment For Sale.",3,3,1100 sqft,"Block E, Section 1, Mirpur, Dhaka",Apartment,4100000
"An Apartment Is Ready For Sale At Mohammadpur , Near Mohammadpur Government High School",3,3,1876 sqft,"Mohammadpur, Dhaka",Apartment,7800000
900 Sq Ft Flat Is Now Vacant To Sale In Dhanmondi,2,2,900 sqft,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",Apartment,3100000
Looking For A Tasteful Home To Sale In North Tolarbag Road ? Check This One,3,3,1300 sqft,"Tolarbag, Section 1, Mirpur, Dhaka",Apartment,4200000
1300 Sq Ft Flat Is Ready For Sale In Chandrima Model Town,3,3,1300 sqft,"Block C, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,8400000
"An Apartment Is Up For Sale In Double Mooring, Near Anondipur Shishu Academy.",2,2,1000 sqft,"25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,7600000
1340 Sq Ft Lovely Apartment Is For Sale In Mirpur-1,3,3,1340 sqft,"Section 1, Mirpur, Dhaka",Apartment,7200000
Get Comfortable In A Nice Flat For Sale In Uttara Nearby International Hope School Bangladesh,3,3,1450 sqft,"Sector 4, Uttara, Dhaka",Apartment,7700000
"Select This 1233 Square Feet Apartment For Your Comfy Living In Turag, Dia Bari Road",3,3,1233 sqft,"Turag, Dhaka",Apartment,7500000
Deal With This Beautiful 2200 Sq Ft Apartment For Sale In Uttara-4,4,2,2200 sqft,"Sector 4, Uttara, Dhaka",Apartment,3900000
2100 Square Feet Residential Apartment With 3 Bedrooms For Sale In Uttara-4,3,3,2100 sqft,"Sector 4, Uttara, Dhaka",Apartment,4500000
"A Full Furnished Apartment Is Up For Sale In Uttara , Near 10 Number Sector Central Jame Masjid.",4,2,3000 sqft,"Sector 10, Uttara, Dhaka",Apartment,20000000
Consider Sale This 700 Sq Ft Flat In Mohammadpur Close To Qaderia Tayebia Madrasa.,2,2,700 sqft,"Mohammadpur, Dhaka",Apartment,2800000
A Smartly Priced 1240 Sq. Ft Apartment Which Is Up For Sale In Paikpara -Masjid Road .,3,3,1240 sqft,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,4600000
To Get A Trouble Free Life You Can Take Sale This 1800 Sq Ft House In Mohammadpur,3,3,1800 sqft,"Block E, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,7800000
To Settle Comfortably You Can Take This 1650 Sq Ft Home For Sale In Chandrima Model Town,3,3,1650 sqft,"Block E, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,8800000
Apartment Up To Sale In The Location Of West Kazipara,3,2,980 sqft,"Mirpur, Dhaka",Apartment,1700000
Superb 650 Sq Ft Flat Is Available To Sale In Faydabad,2,2,980 sqft,"Faydabad, Dakshin Khan, Dhaka",Apartment,1600000
Very Well Designed 1000 Sq Ft Residential Flat Is There For Sale At Double Mooring,2,2,1000 sqft,"25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,6600000
"Reside In This Perfect 1500 Sq Ft Flat For Sale In Section 15, Mirpur",3,3,1500 sqft,"Section 15, Mirpur, Dhaka",Apartment,9000000
A Well-Fitted 1700 Sq Ft Flat Is Up For Sale In Aftab Nagar,3,3,1700 sqft,"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,7700000
Checkout This 1600 Sq Ft Flat Up For Sale In Aftab Nagar,3,3,1600 sqft,"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,8700000
"Dwell In This 1700 Sq Ft Flat Up For Sale In Aftab Nagar, Block E",3,3,1700 sqft,"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,8100000
1600 Sq Ft Flat With 3 Balconies Is Up For Sale In Aftab Nagar,3,3,1600 sqft,"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,7000000
"Live In This Secured 1700 Sq Ft Flat Up For Sale In Aftab Nagar, Block E",3,3,1700 sqft,"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,7700000
In The Location Of Mohammadpur A 750 Sq Ft Apartment For Sale Near To Pc Culture Housing Society Jam-E-Masjid,2,2,750 sqft,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",Apartment,2600000
Covering 750 Sq Ft Space A Nice Flat Is Ready To Sale In Chad Uddan Housing,2,2,750 sqft,"Block C, Chad Uddan Housing, Mohammadpur, Dhaka",Apartment,2100000
1160 Square Feet Apartment For Sale In Adabor,3,3,1160 sqft,"Block B, Mansurabad Housing Society, Adabor, Dhaka",Apartment,8800000
Well-Constructed 1400 Sq Ft Home Is Now Offering To You In Uttara For Sale,3,3,1400 sqft,"Sector 10, Uttara, Dhaka",Apartment,3800000
A Convenient 1300 Sq Ft Residential Flat Is Prepared To Be Saleed At Sholokbahar Nearby Shayesta Khan Jame Masjid,3,3,1300 sqft,"Sholokbahar, Chattogram",Apartment,5800000
A 750 Sq Ft Very Reasonable Medium Flat Is Available For Sale At Mohammadpur,2,2,750 sqft,"Block F, aziz Moholla, Mohammadpur, Dhaka",Apartment,2500000
"Looking For A Nice Home To Sale In East Shewrapara, Check This One Which Is 700 Sq Ft",2,2,700 sqft,"Mirpur, Dhaka",Apartment,3000000
"Choose This 1400 Sq Ft Flat For Sale In Cantonment, Balur Maat Road",3,3,1400 sqft,"Cantonment, Dhaka",Apartment,7500000
A 900 Sq Ft Apartment Close To Zam Zam Tower At Uttara Is Up For Its New Tenant.,2,2,900 sqft,"Sector 13, Uttara, Dhaka",Apartment,3500000
Plan To Move In This 600 Sq Ft Flat Which Is Up To Sale In Mirpur,2,2,980 sqft,"Section 1, Mirpur, Dhaka",Apartment,2800000
Ready Convenient Flat Of 1050 Sq Ft Is Up For Sale In Balughat,3,2,1050 sqft,"Cantonment, Dhaka",Apartment,4400000
Observe This Luxurious 3100 Sq Ft Flat For Sale In North Khulshi,3,3,3100 sqft,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,20000000
"1200 Square Feet Flat With Comfy Rooms For Sale In Adabor, Baitul Aman Housing Society",3,3,1200 sqft,"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,3800000
"View This 1250 Sq Ft Flat Set For Sale In Cantonment, Balughat",3,3,1250 sqft,"Cantonment, Dhaka",Apartment,8600000
Check This Fine Looking Residence Of 2550 Sq Ft Offered For Sale Nearby Chatogram Govt School At Panchlaish R/A,5,2,2550 sqft,"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,20000000
Magnify Your Lifestyle By Sale This Wonderful Flat In North Pirerbag Near To Al-Arafah Islami Bank Limited,3,3,1250 sqft,"Pirerbag, Mirpur, Dhaka",Apartment,8200000
Strongly Constructed 850 Sq Ft Residence Is Available To Sale In Adabor,2,2,850 sqft,"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,1600000
Grab Your New Home At This 1350 Sq Ft Apartment Up For Sale In Pallabi,4,3,1350 sqft,"Pallabi, Mirpur, Dhaka",Apartment,8600000
"View This 1600 Sq Ft Flat Up For Sale In Aftab Nagar, Block E",3,3,1600 sqft,"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,7300000
"An Apartment Is Ready For Sale At Hathazari, Near Hathazari Govt College",2,2,800 sqft,"Aman Bazar, 1 No. South Pahartali Ward, Hathazari, Chattogram",Apartment,3100000
Perfectly Planned 3 Bedroom Flat Is Up For Sale In Mirpur -11,3,3,1250 sqft,"Block A, Section 11, Mirpur, Dhaka",Apartment,8900000
"At North Khulshi, A 1000 Sq Ft Flat Is Up To Sale",2,2,1000 sqft,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,8200000
If You Are Looking For A New Address For Your Home Then You Should See This 800 Sq. Ft. Space Up For Sale In Chatogram Near To Asian University For Women.,2,2,800 sqft,"15 No. Bagmoniram Ward, Chattogram",Apartment,2000000
"1700 Sq Ft Apartment For Sale In Aftab Nagar, Near Cosmo School & College, Banasree Campus",4,2,1700 sqft,"Block A, Aftab Nagar, Dhaka",Apartment,8400000
1500 Sq Ft Flat For Sale In Uttara 11,3,3,1500 sqft,"Sector 11, Uttara, Dhaka",Apartment,8000000
Affordable Two Bedrooms Apartment For Sale In Lalbagh,2,2,980 sqft,"Lalbagh Road, Lalbagh, Dhaka",Apartment,2600000
2000 Sq Ft Flat Is Cursalely Ready To Sale In Bashundhara R-A,3,3,2000 sqft,"Block C, Bashundhara R-A, Dhaka",Apartment,8800000
"Pursue This 1160 Square Feet Apartment For Sale In Adabor, Mansurabad Housing Society",3,3,1160 sqft,"Block B, Mansurabad Housing Society, Adabor, Dhaka",Apartment,9000000
Ready 650 Sq Ft Beautifully Built Apartment Is Now To Sale In Mohammadpur,2,2,980 sqft,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,2400000
2630 Square Feet Apartment With Refreshing Rooms Is For Sale In Uttara-12,4,3,2630 sqft,"Sector 12, Uttara, Dhaka",Apartment,20000000
"Deal With This Great 1400 Square Feet Apartment For Sale In Adabor, Mansurabad Housing Society",3,3,1400 sqft,"Block B, Mansurabad Housing Society, Adabor, Dhaka",Apartment,5500000
650 Sq Ft Apartment For Sale In The Great Location Of Dakshin Khan,2,2,980 sqft,"Kawlar, Dakshin Khan, Dhaka",Apartment,3800000
Apartment For Sale In Gulshan Near Jame Masjid,3,3,2100 sqft,"Gulshan 2, Gulshan, Dhaka",Apartment,30000000
Offering You A Nice Flat For Sale In Uttara Near Sunbeams School,3,3,2400 sqft,"Sector 10, Uttara, Dhaka",Apartment,6000000
Visit This Apartment For Sale In Gulshan 2 Near Institute Of Hazrat Mohammad.,3,3,2500 sqft,"Gulshan 2, Gulshan, Dhaka",Apartment,90000000
At Naya Paltan Nice Flat Up For Sale Near Islami Bank Specialized And General Hospital,3,3,1700 sqft,"Naya Paltan, Motijheel, Dhaka",Apartment,7500000
A Decent 1100 Sq. Ft Flat Which Is Near To Katashur Shahi Jam'E Mosque Is Now For Sale In Mohammadpur,3,3,1100 sqft,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",Apartment,6100000
Affordable And Wonderful Flat Up For Sale In West Dhanmondi,2,2,900 sqft,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",Apartment,3600000
A Nicely Build 800 Sq Ft 2 Bed Apartment Is Available For Sale In Uttara,2,2,800 sqft,"Sector 13, Uttara, Dhaka",Apartment,2200000
800 Sq. Ft. Flat Is Now Up To Sale Near Mansurabad Housing Jame Moshjid,2,2,800 sqft,"Block B, Mansurabad Housing Society, Adabor, Dhaka",Apartment,2100000
"In Mohammadpur, 1500 Sq Ft Flat Is Available For Sale Which Is Now Close To Tokyo Square",3,3,1500 sqft,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,8100000
For Saleal Purpose 1975 Sq Ft Home Is Now Up To Sale In Bashundhara R-A,3,3,1975 sqft,"Block J, Bashundhara R-A, Dhaka",Apartment,7400000
Check Your Desired Apartment At This 1200 Sq Ft Flat For Sale At Bochila City,3,3,1200 sqft,"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",Apartment,4600000
"500 Sq Ft Flat For Sale In Mohammadpur, Pc Culture Housing",3,2,980 sqft,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,2200000
Worthy 1650 Sq Ft Residential Apartment Is Ready To Sale At Bashundhara R-A Area Close To Mehedi Mart,3,3,1650 sqft,"Block I, Bashundhara R-A, Dhaka",Apartment,8500000
A Well-Constructed 2300 Sq Ft Flat Is Ready To Sale In Bashundhara R-A Close To Nsu,3,3,2300 sqft,"Block D, Bashundhara R-A, Dhaka",Apartment,5500000
This 850 Sq. Ft. Flat Is Up For Sale Near Khalil Ullah Jame Masjid In Ibrahimpur .,2,2,850 sqft,"Ibrahimpur, Dhaka",Apartment,2000000
Sale This Duplex Flat At Bashundhara Neighboring Markazul Fiqril Islami Bangladesh,5,2,6000 sqft,"Block D, Bashundhara R-A, Dhaka",Duplex,90000000
"Smartly Priced 4200 Sq Ft Apartment Is Ready To Sale, That You Should Check In Baridhara",4,2,4200 sqft,"Block K, Baridhara, Dhaka",Apartment,60000000
"In A Mind-Blowing Location Of Uttara Sec- 7, 2600 Sq Ft An Apartment Is Up For Sale",4,2,2600 sqft,"Sector 7, Uttara, Dhaka",Apartment,20000000
"600 Sq Ft Apartment Is Available For Sale At South Manikdi, Khan Palli",2,2,980 sqft,"South Manikdi, Manikdi, Cantonment, Dhaka",Apartment,1600000
To Get A Trouble Free Life You Can Take Sale This 2450 Sq Ft Full Furnished House In Bashundhara R-A,3,3,2450 sqft,"Block J, Bashundhara R-A, Dhaka",Apartment,6000000
Pick This 5400 Sq Ft Apartment For Sale In Gulshan 2,5,2,5400 sqft,"Gulshan 2, Gulshan, Dhaka",Apartment,80000000
In The Fine Location Of Gulshan A 2700 Sq Ft Apartment Is All Set For Sale Near To United Commercial Bank Limited Head Office,3,3,2700 sqft,"Gulshan 1, Gulshan, Dhaka",Apartment,70000000
"At Nasirabad Properties Residential Area, 1200 Square Feet Flat Is For Sale",3,2,1200 sqft,"Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,3900000
Completely Suitable And Ready Flat Of 3500 Sq Ft For Sale In Banani Dohs,4,2,3500 sqft,"Banani DOHS, Dhaka",Apartment,30000000
1300 Square Feet Apartment Is Ready To Sale In The Cozy Placement Of Cantonment,3,2,1300 sqft,"Cantonment, Dhaka",Apartment,8700000
"Checkout This 1300 Square Feet Apartment Ready To Sale In Cantonment, Ajiz Market Road",3,2,1300 sqft,"Cantonment, Dhaka",Apartment,5700000
Grab This 1300 Square Feet Apartment Ready To Sale In Cantonment,3,2,1300 sqft,"Cantonment, Dhaka",Apartment,4700000
"Grab This 1200 Sq Ft Flat Ready For Sale In Cantonment, Goltek",3,3,1200 sqft,"Cantonment, Dhaka",Apartment,6200000
"A Suitable Flat Of 1200 Sq Ft Is Up For Sale In Cantonment, Goltek",3,3,1200 sqft,"Cantonment, Dhaka",Apartment,8100000
Rarely Available 730 Sq Ft Apartment Is Up For Sale At Proshanti R/A,2,2,730 sqft,"Proshanti R/A, 10 No. North Kattali Ward, Chattogram",Apartment,1800000
Well-Constructed 1350 Sq. Ft Flat Is Ready To Sale At Bashundhara R-A Close To Basundhara Residential Area Puja Mondop.,3,3,1350 sqft,"Block I, Bashundhara R-A, Dhaka",Apartment,5800000
Flat For Sale In Bashundhara R-A Close To Nsu,3,3,1550 sqft,"Block G, Bashundhara R-A, Dhaka",Apartment,7700000
Affordable And Nice Flat Is Up For Sale In Boro Maghbazar Which Is 1000 Sq Ft,3,2,1000 sqft,"Maghbazar, Dhaka",Apartment,6100000
Plan To Move In This 900 Sq Ft Flat Which Is Up To Sale In Manikdi,2,2,900 sqft,"Manikdi, Cantonment, Dhaka",Apartment,1900000
An Apartment Of 900 Sq Ft Is Waiting For Sale At West Nimtala,2,2,900 sqft,"West Nimtala, Bandar, 36 Goshail Danga Ward, Chattogram",Apartment,1800000
950 Sq Ft Apartment Is Available For Sale In A Calm Arena Of South Manikdi,3,2,950 sqft,"Manikdi, Cantonment, Dhaka",Apartment,3500000
Reasonable 650 Sq Ft Flat Is Available For Sale In Mirpur Near To M. D. C. Model Institute,2,2,980 sqft,"Block C, Section 12, Mirpur, Dhaka",Apartment,2300000
"An Apartment Is Ready For Sale At Dhanmondi, Near University Of Liberal Arts Bangladesh Campus A.",3,3,2200 sqft,"Dhanmondi, Dhaka",Apartment,6000000
"This Remarkable Apartment Is For Sale With Satisfactory Price At Block C, Bashundhara R-A.",3,3,1350 sqft,"Block C, Bashundhara R-A, Dhaka",Apartment,4800000
This Flat In East Manikdi Is Up To Sale With An Area Of 850 Sq. Ft,2,2,850 sqft,"Manikdi, Cantonment, Dhaka",Apartment,2600000
"Checkout This 1250 Sq Ft Flat Up For Sale In Ibrahimpur, Primary School Road",3,3,1250 sqft,"Ibrahimpur, Dhaka",Apartment,5700000
"Start Your New Home, In This Flat For Sale In Pallabi Extension",3,2,1050 sqft,"Pallabi Extension, Pallabi, Mirpur, Dhaka",Apartment,7700000
"Sale This Amazing 1350 Square Feet Apartment In Mohammadpur, Khilji Road",3,3,1350 sqft,"Mohammadpur, Dhaka",Apartment,8100000
In Uttara 2700 Sq Ft Flat Is Available For Sale Which Is Now Close To Lake Terrace,4,2,2700 sqft,"Sector 7, Uttara, Dhaka",Apartment,20000000
"Apartment For Sale In Uttara, Near International Hope School Bangladesh",3,3,1550 sqft,"Sector 4, Uttara, Dhaka",Apartment,7500000
Flat For Sale In Khulshi Near Nasirabad Girls' High School,4,2,2000 sqft,"Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,8700000
"Smartly Priced 800 Sq Ft Flat, That You Should Check In Chayaneer Residential Area",2,2,800 sqft,"Section 7, Mirpur, Dhaka",Apartment,3100000
Define Your Home Taste By Sale This Residence Of 1660 Sq Ft At 15 No. Bagmoniram Ward,3,3,1660 sqft,"15 No. Bagmoniram Ward, Chattogram",Apartment,9000000
"Attractive 2200 Sq Ft Home Is Available For Sale In Halishahar Housing Estate, Block K",3,3,2200 sqft,"Road No 2, Block K, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3100000
"1800 Sq Ft Ready Apartment Is Waiting For Sale At Nabab Siraj Ud Daula Road, Bakalia",3,3,1800 sqft,"Bakalia, Chattogram",Apartment,8000000
"Ready To Move In? Visit This Amazing 2750 Sq. Ft Saleal Property At Uttara, Sector 1",5,2,2750 sqft,"Sector 1, Uttara, Dhaka",Apartment,30000000
"A Very Beautiful 1500 Sq Ft Residence Is Now Available For Sale In Lal Khan Bazaar, Dampara",3,3,1500 sqft,"Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",Apartment,7600000
"View This 950 Sq Ft Flat For Sale In Muradpur, Mirzapul Road",2,2,950 sqft,"Muradpur, Chattogram",Apartment,1600000
A Smartly Priced Apartment Which Is Up For Sale In Nabab Siraj Ud Daula Road-Bakalia .,2,2,950 sqft,"Bakalia, Chattogram",Apartment,2800000
A Robustly Built 950 Sq Ft Flat Is Up For Sale In Lal Khan Bazaar,2,2,950 sqft,"Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",Apartment,1800000
All Set For Saleal Purpose This 420 Sq Ft Flat In A Peaceful Location Of West Dhanmondi And Shangkar .,2,2,980 sqft,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",Apartment,2600000
This Ready And Comfortable 1750 Sq. Ft Apartment Is Up For Sale At Zakir Hossain Housing Society.,3,3,1750 sqft,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,8500000
Don’T Waste You Valuable Time! You Can Take This 1400 Sq Ft Flat For Sale In Mohammadpur,3,3,1400 sqft,"Mohammadpur, Dhaka",Apartment,6100000
Let Us Give You A Good Home! A 2400 Sq Ft Spacious Flat For Sale In Uttara 10 .,3,3,2400 sqft,"Sector 10, Uttara, Dhaka",Apartment,6000000
1600 Sq Ft Standard Flat With 3 Bedrooms For Sale In Bashundhara R-A,3,3,1600 sqft,"Bashundhara R-A, Dhaka",Apartment,8500000
Wonderful 1600 Sq Ft Flat Is Available To Sale In Bashundhara R-A,3,3,1600 sqft,"Bashundhara R-A, Dhaka",Apartment,7200000
Contact Us To Sale This 1250 Sq Ft House Which Is Now Available In Kallyanpur,3,3,1250 sqft,"Kallyanpur, Mirpur, Dhaka",Apartment,6700000
Near Nsu Flat For Sale In Bashundhara R-A,3,3,1452 sqft,"Block B, Bashundhara R-A, Dhaka",Apartment,5300000
A Convenient 1200 Sq Ft Residential Home Is Prepared To Be Saleed At Bakalia,4,2,1200 sqft,"Chaktai, 19 No. South Bakalia Ward, Bakalia, Chattogram",Apartment,8900000
"A Great Flat For Sale Purposes Is Available In Adabor, With A Space Of 1400 Sq Ft, Very Close To Adabor Bus Stop",3,3,1400 sqft,"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,8900000
